,links
102,http://web.archive.org/web/20211201101811/https://ghanaxtra.com/2021/11/just-in-another-resignation-hits-kessben-tv-kessben-fm.html
103,http://web.archive.org/web/20190327010157/http://ghanaxtra.com/2019/03/breaking-parliament-passes-rti-bill-after-17-years-delay.html
104,http://web.archive.org/web/20201101082755/https://ghanaxtra.com/2020/10/angry-npp-supporters-storm-ecg-office-after-dumsor-disrupts-bawumias-visit.html
105,http://web.archive.org/web/20180401051902/https://ghanaxtra.com/2018/03/koku-anyidohos-arrest-fulfilment-holy-bible-apostle-amoako-attah.html
106,http://web.archive.org/web/20190227194332/http://ghanaxtra.com/2018/10/three-jailed-fracking-protesters-freed-on-appeal.html
107,http://web.archive.org/web/20190413105257/https://ghanaxtra.com/2019/04/ndc-mp-who-leaked-ofosu-ampofos-tape-identified.html
108,http://web.archive.org/web/20190413105257/https://ghanaxtra.com/2017/09/black-stars-coach-names-strong-side-to-face-congo.html
109,http://web.archive.org/web/20181214162817/http://ghanaxtra.com/2018/12/man-fails-give-wife-organism-will-go-hell-counsellor-lutterodt.html
110,http://web.archive.org/web/20190123191109/http://ghanaxtra.com/2018/11/what-does-the-uefa-nations-league-trophy-look-like-the-silverware-england-will-fight-for-in-2019.html
111,http://web.archive.org/web/20190320172358/http://ghanaxtra.com/2019/02/video-pastor-miraculously-resurrects-dead-man.html
112,http://web.archive.org/web/20201101082755/https://ghanaxtra.com/2020/10/full-text-akufo-addos-18th-address-to-the-nation-on-measures-to-fight-covid-19.html
113,http://web.archive.org/web/20200422221142/https://ghanaxtra.com/2020/04/sarkodie-begs-akufo-addo-to-open-ghanas-borders-for-stranded-ghanaians-to-return-home.html
114,http://web.archive.org/web/20180819194425/https://ghanaxtra.com/2018/01/photos-four-npp-supporters-sustain-gun-wounds-one-critical-condition.html
115,http://web.archive.org/web/20181122183640/http://ghanaxtra.com/2018/10/shattas-reign-album-first-copy-goes-150k.html
116,http://web.archive.org/web/20200422221142/https://ghanaxtra.com/2020/04/video-this-is-how-awoshie-residents-jubilated-over-lifting-of-the-lockdown.html
117,http://web.archive.org/web/20181225172547/http://ghanaxtra.com/2018/05/video-two-year-old-boy-reciting-multiplication-table-goes-viral.html
118,http://web.archive.org/web/20220126232214/https://ghanaxtra.com/2022/01/level-400-uew-student-drowns-at-shakina-lodge.html
119,http://web.archive.org/web/20220313025528/https://ghanaxtra.com/2021/12/teacher-kwadwo-provides-20-solid-responses-to-rubbish-dismissal.html
120,http://web.archive.org/web/20210918022838/https://ghanaxtra.com/2021/09/leaked-document-list-of-mmdces-for-greater-accra-eastern-regions.html
121,http://web.archive.org/web/20201128054921/https://ghanaxtra.com/2020/11/uncovered-how-mahama-pulled-a-gun-at-rawlings-in-a-fit-of-rage.html
122,http://web.archive.org/web/20170810084939/http://www.ghanaxtra.com/p/contact-us.html
123,http://web.archive.org/web/20190320172358/http://ghanaxtra.com/2019/02/ayawaso-west-wuogon-violence-bryan-acheampong-next-security-boss-ken-agyapong.html
124,http://web.archive.org/web/20200804004454/https://ghanaxtra.com/2020/07/national-security-operative-threatens-to-shoot-police-officer-in-publicvideo.html
125,http://web.archive.org/web/20180819194425/https://ghanaxtra.com/2018/07/cristiano-ronaldo-juventus-done-deal-announcement-made.html
126,http://web.archive.org/web/20180409195513/https://ghanaxtra.com/2018/03/anyidohos-arrest-much-ado-nothing-general-mosquito.html
127,http://web.archive.org/web/20190320172358/http://ghanaxtra.com/2018/12/jose-mourinho-is-passing-the-buck-to-manchester-united-players-but-they-deserve-it-sam-allardyce-on-managers-latest-outburst.html
128,http://web.archive.org/web/20190330214510/http://ghanaxtra.com/2019/03/ahmed-suales-killers-nabbed-one-granted-bail-by-police.html
129,http://web.archive.org/web/20170709171826/http://www.ghanaxtra.com/p/privacy-policy.html
130,http://web.archive.org/web/20190213123629/http://ghanaxtra.com/2018/03/eastern-region-lightning-strikes-one-student-dead-two-others-seriously-injured.html
131,http://web.archive.org/web/20211215062122/https://ghanaxtra.com/2021/12/fmr-igp-withdraws-suit-against-kennedy-agyapongs-boy-after-judges-warning-in-court.html
132,http://web.archive.org/web/20220313025528/https://ghanaxtra.com/2022/01/peter-suaka-writes-start-afresh.html
133,http://web.archive.org/web/20181225172547/http://ghanaxtra.com/2018/12/jamaican-reggae-star-buju-banton-released-jail.html
134,http://web.archive.org/web/20190327010157/http://ghanaxtra.com/2019/03/lucky-tuesday-lotto-results-for-march-26-2019-2.html
135,http://web.archive.org/web/20181214162817/http://ghanaxtra.com/2018/10/nigerian-foremost-comedian-baba-sala-is-dead.html
136,http://web.archive.org/web/20190325095346/http://ghanaxtra.com/2019/03/another-police-brutality-police-assault-driver-shoot-into-his-truck-tyresvideo.html
137,http://web.archive.org/web/20211201101811/https://ghanaxtra.com/2021/11/breaking-news-parliament-rejects-2022-budget-statement.html
138,http://web.archive.org/web/20220704030357/https://ghanaxtra.com/2022/03/presec-student-crowned-overall-best-wassce-student-in-ghana-2nd-in-west-africa.html
139,http://web.archive.org/web/20201128054921/https://ghanaxtra.com/2020/11/just-in-younger-brother-of-fmr-npp-chairman-gregory-afoko-has-died.html
140,http://web.archive.org/web/20180819194425/https://ghanaxtra.com/2018/05/like-stanchart-barclays-ladies-prophet-kumchacha.html
141,http://web.archive.org/web/20210121185243/https://ghanaxtra.com/2021/01/sc-grants-mahamas-motion-to-correct-errors-in-election-petition.html
142,http://web.archive.org/web/20190325095346/http://ghanaxtra.com/2019/02/forget-akuapem-poloo-here-are-some-decent-sons-of-akuapeman.html
143,http://web.archive.org/web/20190213123629/http://ghanaxtra.com/2019/01/tension-mounts-as-congos-election-commission-delays-results-announcement.html
144,http://web.archive.org/web/20220324025456/https://ghanaxtra.com/2022/01/32-year-old-man-gains-admission-to-adisadel-to-fulfil-childhood-dream.html
145,http://web.archive.org/web/20190325095346/http://ghanaxtra.com/2019/03/meet-wilhelmina-opoku-the-2018-overall-best-wassce-student.html
146,http://web.archive.org/web/20181225172547/http://ghanaxtra.com/2018/01/shithole-country-life-saver-meet-ghanaian-hero-donald-trump-maligned.html
147,http://web.archive.org/web/20201115222722/https://ghanaxtra.com/2020/11/fomena-mp-booted-out-of-parliament.html
148,http://web.archive.org/web/20210121185243/https://ghanaxtra.com/2021/01/rawlings-family-makes-u-turn-raises-issue-with-burial-place.html
149,http://web.archive.org/web/20181123200930/http://ghanaxtra.com/2018/11/bet365-uks-best-paid-boss-sees-pay-rise-to-265m.html
150,http://web.archive.org/web/20190127074742/http://ghanaxtra.com/2018/05/anas-expose-nyantakyi-didnt-say-akufo-addo-pocket-kweku-baako.html
151,http://web.archive.org/web/20210918022838/https://ghanaxtra.com/2021/09/rev-owusu-bempah-remanded-into-police-custody.html
152,http://web.archive.org/web/20210513163049/https://ghanaxtra.com/2021/04/back-from-nsawam-akuapem-poloo-addresses-media-today.html
153,http://web.archive.org/web/20210513163049/https://ghanaxtra.com/2021/04/midwife-carries-pregnant-woman-in-labour-on-wooden-dirt.html
154,http://web.archive.org/web/20190325095346/http://ghanaxtra.com/2019/03/chief-caged-for-ordering-the-beating-of-police-officers.html
155,http://web.archive.org/web/20190328010556/http://ghanaxtra.com/2017/10/you-reap-what-you-sow-mahama-blames-akufo-addo-for-political-lawlessness.html
156,http://web.archive.org/web/20181225172547/http://ghanaxtra.com/2018/05/weija-truck-crashes-school-20-pupils-feared-dead.html
157,http://web.archive.org/web/20200930233654/https://ghanaxtra.com/2020/09/full-text-this-is-what-akufo-addo-said-in-update-number-17.html
158,http://web.archive.org/web/20171012095814/http://www.ghanaxtra.com/2017/10/ghanaians-mad-at-liverpool-fc-fan-who.html
159,http://web.archive.org/web/20230308060543/https://www.ghanaxtra.com/2023/01/domestic-debt-exchange-program-deadline.html
160,http://web.archive.org/web/20210618095204/https://ghanaxtra.com/2021/06/trending-video-gun-wielding-guys-in-viral-video-rain-curses-over-robbery-tag.html
161,http://web.archive.org/web/20210618095204/https://ghanaxtra.com/2021/06/video-covid-19-protocols-thrown-to-the-dogs-at-sir-johns-funeral.html
162,http://web.archive.org/web/20211201101811/https://ghanaxtra.com/2021/11/journalist-albert-still-jobless-as-braggart-kevin-taylor-dodges-employment-promise.html
163,http://web.archive.org/web/20181226221337/http://ghanaxtra.com/2018/04/watch-vgma-2018-live.html
164,http://web.archive.org/web/20170810084939/http://www.ghanaxtra.com/2017/08/video-usain-bolt-beaten-in-final-100m.html
165,http://web.archive.org/web/20220128222150/https://ghanaxtra.com/2021/12/just-in-sunyani-high-court-places-injunction-on-uenr-alumni-election.html
166,http://web.archive.org/web/20181123200930/http://ghanaxtra.com/2017/10/samira-bawumia-named-un-cleanstoves-ambassador.html
167,http://web.archive.org/web/20190210115434/http://ghanaxtra.com/2018/10/transfer-gossip-real-madrid-tottenham-hotspur-barcelona-and-manchester-city-eyeing-january-transfer-for-ajax-superstar-frenkie-de-jong.html
168,http://web.archive.org/web/20190116064121/http://ghanaxtra.com/2018/10/ghana-music-awards-uk-2018-stonebwoy-patapaa-pick-awards-full-list-of-winnerss.html
169,http://web.archive.org/web/20210121185243/https://ghanaxtra.com/2021/01/dr-adutwum-provides-scholarship-to-30-students-to-pursue-engineering.html
170,http://web.archive.org/web/20190325095346/http://ghanaxtra.com/2018/10/storm-callum-rivers-rising-as-downpours-continue.html
171,http://web.archive.org/web/20201024153408/https://ghanaxtra.com/2020/10/npp-pc-for-yapei-kusawgu-who-died-in-ghastly-accident-buried.html
172,http://web.archive.org/web/20190325095346/http://ghanaxtra.com/2019/03/the-kenyan-town-where-husbands-compete-with-babies-for-breast-milk.html
173,http://web.archive.org/web/20220324025456/https://ghanaxtra.com/2022/02/berekum-east-npp-constituency-office-vandalisedphotos.html
174,http://web.archive.org/web/20220525044517/https://ghanaxtra.com/2022/03/food-vendors-attacked-by-suspected-military-men-in-bawkuphotos.html
175,http://web.archive.org/web/20181226221337/http://ghanaxtra.com/2018/03/akufo-addos-wife-better-job-former-deputy-minister.html
176,http://web.archive.org/web/20190213123629/http://ghanaxtra.com/2017/08/nbc-denies-banning-songs-by-davidoolamide-and-9ice.html
177,http://web.archive.org/web/20180401051902/https://ghanaxtra.com/2018/03/stop-silly-thing-will-destroy-career-shatta-wale-warns-stonebwoy.html
178,http://web.archive.org/web/20190123191109/http://ghanaxtra.com/2018/12/photos-ghanaian-celebrities-moms.html
179,http://web.archive.org/web/20181123200930/http://ghanaxtra.com/2018/11/manchester-united-v-crystal-palace-preview-team-news-confirmed-line-ups-and-live-talksport-commentary.html
180,http://web.archive.org/web/20190327010157/http://ghanaxtra.com/2019/02/video-pastor-miraculously-resurrects-dead-man.html
181,http://web.archive.org/web/20190123191109/http://ghanaxtra.com/2017/08/akufo-addo-is-a-one-term-president-npp-could-go-back-to-opposition-in-2020-prophet-reindolf-oduro.html
182,http://web.archive.org/web/20181226221337/http://ghanaxtra.com/2018/04/st-james-old-boy-wins-tokyos-policy-institute-award.html
183,http://web.archive.org/web/20190328010556/http://ghanaxtra.com/2018/01/two-arrested.html
184,http://web.archive.org/web/20211201101811/https://ghanaxtra.com/2021/10/ghanas-ambassador-to-italy-eudora-quartey-koranteng-has-died.html
185,http://web.archive.org/web/20180331145612/https://ghanaxtra.com/2018/03/funeral-home-worker-accidentally-cremated-ashes-falling-asleep.html
186,http://web.archive.org/web/20211215062122/https://ghanaxtra.com/2021/11/sammy-gyamfi-wins-defamation-suit-against-vokacom-limited.html
187,http://web.archive.org/web/20190327010157/http://ghanaxtra.com/2019/03/kwasi-nyame-baafi-equals-dr-bawumias-32-year-old-academic-record.html
188,http://web.archive.org/web/20180331145612/https://ghanaxtra.com/2018/03/koforidua-man-arrested-stealing-church-offering-amplifier.html
189,http://web.archive.org/web/20210411080304/https://ghanaxtra.com/2021/03/exclusive-yea-staff-dying-of-hunger-as-govt-fails-to-pay-monthly-salaries.html
190,http://web.archive.org/web/20211229184821/https://ghanaxtra.com/2021/12/exclusive-full-details-of-teacher-kwadwos-dismissal-letter-revealed.html
191,http://web.archive.org/web/20181122183640/http://ghanaxtra.com/2018/10/video-fuck-your-advice-shatta-wale-replies-sarkodie.html
192,http://web.archive.org/web/20190125013254/http://ghanaxtra.com/2019/01/us-supreme-court-allows-trump-military-transgender-ban.html
193,http://web.archive.org/web/20181226221337/http://ghanaxtra.com/2018/09/kumasi-npp-serial-callers-burn-mobile-phones-vow-not-to-defend-party-againvideo.html
194,http://web.archive.org/web/20201128054921/https://ghanaxtra.com/2020/11/11-year-old-boy-appeals-for-gh%c2%a250000-to-undergo-heart-surgery.html
195,http://web.archive.org/web/20220324025456/https://ghanaxtra.com/2022/01/peter-suaka-writes-start-afresh.html
196,http://web.archive.org/web/20180413043210/https://ghanaxtra.com/2017/08/usain-bolt-beaten-by-justin-gatlin-in-last-100m-race.html
197,http://web.archive.org/web/20181124103259/http://ghanaxtra.com/2018/11/chinese-campaign-to-boycott-dolce-gabbana-mounts-as-co-founders-issue-apology.html
198,http://web.archive.org/web/20210725003713/https://ghanaxtra.com/2021/07/suspect-confesses-to-beheading-headteacher-in-kumasi.html
199,http://web.archive.org/web/20210618095204/https://ghanaxtra.com/2021/06/fack-check-true-identity-of-black-stars-player-sacked-by-c-k-akonor-revealed.html
200,http://web.archive.org/web/20190125013254/http://ghanaxtra.com/2017/07/wimbledon-2017-roger-federer-claims-historic-eighth-wimbledon-title-with-straight-sets-win.html
201,http://web.archive.org/web/20201024153408/https://ghanaxtra.com/2020/10/video-free-for-all-fight-at-ndc-youth-organisers-funeral.html
202,http://web.archive.org/web/20171107115608/http://www.ghanaxtra.com/2017/11/video-gabola-church-church-that.html
203,http://web.archive.org/web/20200422221142/https://ghanaxtra.com/2020/04/arsenal-fans-jubilate-over-artetas-comment-partey.html
204,http://web.archive.org/web/20190116064121/http://ghanaxtra.com/2019/01/opinion-eroding-the-gains-of-free-shs-double-track-system-in-perspective.html
205,http://web.archive.org/web/20180331145612/https://ghanaxtra.com/2018/01/1933.html
206,http://web.archive.org/web/20220126232214/https://ghanaxtra.com/2021/12/tamale-technical-university-rusticates-196-students-over-examination-malpractice.html
